,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
, Brand Reputation (prior-year image), , 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, , 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, , 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, , 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Online Orders (000s), , 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, , 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, , 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, , 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, , 
, Pairs Sold (000s), , 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, , 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, 300, , 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, , 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, 225, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WHOLESALE, Wholesale Price ($ per pair), , 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, , 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, , 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, , 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, , 
  SEGMENT, S/Q Rating (1 to 10 stars), , 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, , 
, Model Availability, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Brand Advertising ($000s), , 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, 10000, , 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, 9000, , 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, 8000, , 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, 7500, , 
, Rebate Offer ($ per pair), , 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, , 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, , 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, , 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, , 
, Delivery Time (weeks), , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, , 
, Retailer Support ($ per outlet), , 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, , 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, 4000, , 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, , 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, 2750, , 
, Retail Outlets, , 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, , 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, , 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, , 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, 700, , 
, Celebrity Appeal, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
, Brand Reputation (prior-year image), , 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, , 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, , 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, , 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Demanded (000s), , 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, , 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, , 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, , 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,   Gained / Lost (due to stockouts), , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Sold (000s), , 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, 1997, , 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, 1700, , 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, , 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
PRIVATE-LABEL, Offer Price (max = $40.00), , 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 38, , 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 43, , 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 38, , 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 43, , 
  SEGMENT, S/Q Rating (min = 3.0 stars), , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, , 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Offered (000s), , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 1000, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 1000, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 1000, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 1000, , 
, Pairs Sold (000s), , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 1000, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 1000, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 1000, , 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 200, 1000, , 
, Market Share (%), , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1000, , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1000, , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1000, , 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 1000, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
