,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
, Brand Reputation (prior-year image), , 72, 65, 84, 100, 93, 0, 0, 0, 0, 0, 0, 0, 83, , 72, 65, 84, 100, 93, 0, 0, 0, 0, 0, 0, 0, 83, , 72, 65, 84, 100, 93, 0, 0, 0, 0, 0, 0, 0, 83, , 72, 65, 84, 100, 93, 0, 0, 0, 0, 0, 0, 0, 83, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Online Orders (000s), , 659, 685, 588, 960, 679, 0, 0, 0, 0, 0, 0, 0, 714, , 557, 488, 550, 776, 705, 0, 0, 0, 0, 0, 0, 0, 615, , 607, 506, 378, 813, 652, 0, 0, 0, 0, 0, 0, 0, 591, , 569, 352, 448, 877, 729, 0, 0, 0, 0, 0, 0, 0, 595, , 
, Pairs Sold (000s), , 659, 685, 588, 960, 679, 0, 0, 0, 0, 0, 0, 0, 714, , 557, 488, 550, 776, 705, 0, 0, 0, 0, 0, 0, 0, 615, , 607, 506, 378, 813, 652, 0, 0, 0, 0, 0, 0, 0, 591, , 569, 352, 448, 877, 729, 0, 0, 0, 0, 0, 0, 0, 595, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.1845, 0.1918, 0.1647, 0.2688, 0.1901, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1811, 0.1586, 0.1788, 0.2523, 0.2292, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2053, 0.1712, 0.1279, 0.275, 0.2206, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1913, 0.1183, 0.1506, 0.2948, 0.245, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WHOLESALE, Wholesale Price ($ per pair), , 76.5, 73, 72, 76, 77, 0, 0, 0, 0, 0, 0, 0, 74.9, , 75, 75, 72, 77, 79, 0, 0, 0, 0, 0, 0, 0, 75.6, , 70.9, 69, 71, 70, 72, 0, 0, 0, 0, 0, 0, 0, 70.58, , 75, 75, 71, 75, 77, 0, 0, 0, 0, 0, 0, 0, 74.6, , 
  SEGMENT, S/Q Rating (1 to 10 stars), , 6.2, 5.4, 6.7, 7.5, 7.4, 0, 0, 0, 0, 0, 0, 0, 6.6, , 6.6, 4.9, 6.7, 7.5, 7.7, 0, 0, 0, 0, 0, 0, 0, 6.7, , 6.3, 4.9, 6.7, 7.5, 7.7, 0, 0, 0, 0, 0, 0, 0, 6.6, , 6.8, 5, 6.6, 7.5, 7.7, 0, 0, 0, 0, 0, 0, 0, 6.7, , 
, Model Availability, , 349.8, 478.3, 399.2, 491.3, 345.5, 0, 0, 0, 0, 0, 0, 0, 413, , 349.6, 398.4, 399.6, 486.2, 390, 0, 0, 0, 0, 0, 0, 0, 405, , 350, 474.4, 399.7, 490.7, 392.7, 0, 0, 0, 0, 0, 0, 0, 422, , 349.8, 424.1, 399.6, 492.2, 351.8, 0, 0, 0, 0, 0, 0, 0, 404, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Brand Advertising ($000s), , 16000, 12000, 12000, 16000, 15000, 0, 0, 0, 0, 0, 0, 0, 14200, , 16000, 16000, 12000, 10000, 16500, 0, 0, 0, 0, 0, 0, 0, 14100, , 15500, 5000, 10000, 16000, 16000, 0, 0, 0, 0, 0, 0, 0, 12500, , 15000, 10000, 10000, 14000, 15000, 0, 0, 0, 0, 0, 0, 0, 12800, , 
, Rebate Offer ($ per pair), , 5, 4, 3, 3, 5, 0, 0, 0, 0, 0, 0, 0, 4, , 5, 6, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3.8, , 5, 4, 4, 4, 5, 0, 0, 0, 0, 0, 0, 0, 4.4, , 5, 3, 4, 4, 5, 0, 0, 0, 0, 0, 0, 0, 4.2, , 
, Delivery Time (weeks), , 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 2, 1, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 
, Retailer Support ($ per outlet), , 8500, 8250, 8000, 9000, 8250, 0, 0, 0, 0, 0, 0, 0, 8400, , 6000, 6250, 8000, 6000, 8500, 0, 0, 0, 0, 0, 0, 0, 6950, , 7000, 6000, 7500, 7500, 8000, 0, 0, 0, 0, 0, 0, 0, 7200, , 5000, 4000, 4000, 8000, 8000, 0, 0, 0, 0, 0, 0, 0, 5800, , 
, Retail Outlets, , 2762, 3076, 3858, 5608, 5083, 0, 0, 0, 0, 0, 0, 0, 4077, , 2071, 1711, 4704, 4689, 5470, 0, 0, 0, 0, 0, 0, 0, 3729, , 2685, 1576, 3372, 5073, 5080, 0, 0, 0, 0, 0, 0, 0, 3557, , 2478, 932, 2984, 5911, 4576, 0, 0, 0, 0, 0, 0, 0, 3376, , 
, Celebrity Appeal, , 145, 75, 0, 170, 100, 0, 0, 0, 0, 0, 0, 0, 98, , 110, 80, 0, 170, 135, 0, 0, 0, 0, 0, 0, 0, 99, , 160, 95, 0, 135, 120, 0, 0, 0, 0, 0, 0, 0, 102, , 105, 60, 0, 130, 195, 0, 0, 0, 0, 0, 0, 0, 98, , 
, Brand Reputation (prior-year image), , 72, 65, 84, 100, 93, 0, 0, 0, 0, 0, 0, 0, 83, , 72, 65, 84, 100, 93, 0, 0, 0, 0, 0, 0, 0, 83, , 72, 65, 84, 100, 93, 0, 0, 0, 0, 0, 0, 0, 83, , 72, 65, 84, 100, 93, 0, 0, 0, 0, 0, 0, 0, 83, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Demanded (000s), , 1688, 1905, 1656, 4053, 2788, 0, 0, 0, 0, 0, 0, 0, 2418, , 1431, 1474, 2192, 2655, 2879, 0, 0, 0, 0, 0, 0, 0, 2126, , 1560, 1252, 1236, 3447, 2801, 0, 0, 0, 0, 0, 0, 0, 2059, , 1411, 1206, 1226, 3824, 2729, 0, 0, 0, 0, 0, 0, 0, 2079, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,   Gained / Lost (due to stockouts), , -38, 7, 6, 15, 10, 0, 0, 0, 0, 0, 0, 0, 0, , -227, 191, 284, -198, -50, 0, 0, 0, 0, 0, 0, 0, 0, , -135, 36, 36, -19, 82, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Sold (000s), , 1650, 1912, 1662, 4068, 2798, 0, 0, 0, 0, 0, 0, 0, 2418, , 1204, 1665, 2476, 2457, 2829, 0, 0, 0, 0, 0, 0, 0, 2126, , 1425, 1288, 1272, 3428, 2883, 0, 0, 0, 0, 0, 0, 0, 2059, , 1411, 1206, 1226, 3824, 2729, 0, 0, 0, 0, 0, 0, 0, 2079, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.1365, 0.1581, 0.1375, 0.3365, 0.2314, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1133, 0.1566, 0.2329, 0.2311, 0.2661, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1384, 0.1251, 0.1235, 0.3329, 0.28, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1357, 0.116, 0.1179, 0.3678, 0.2625, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
PRIVATE-LABEL, Offer Price (max = $40.00), , 43.9, 39, 41, 0, 38.5, 0, 0, 0, 0, 0, 0, 0, 64.9, , 43.9, 39, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65.6, , 39.9, 39, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60.58, , 43.9, 39, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64.6, , 
  SEGMENT, S/Q Rating (min = 3.0 stars), , 5, 5, 5.2, 0, 5.1, 0, 0, 0, 0, 0, 0, 0, 5, , 5, 5, 5.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, , 5, 5, 5.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, , 5, 5, 5.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, , 
, , , , , , , , , , , , , , , 0.4, , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 1, , 
, Pairs Offered (000s), , 700, 459, 774, 0, 638, 0, 0, 0, 0, 0, 0, 0, 1995, , 658, 478, 780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1995, , 901, 475, 784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2260, , 802, 475, 904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2260, , 
, Pairs Sold (000s), , 124, 459, 774, 0, 638, 0, 0, 0, 0, 0, 0, 0, 2571, , 658, 478, 780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1916, , 901, 475, 784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2160, , 802, 475, 904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2181, , 
, Market Share (%), , 0.062, 0.23, 0.388, 0, 0.32, 0, 0, 0, 0, 0, 0, 0, 1995, , 0.33, 0.24, 0.391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1916, , 0.399, 0.21, 0.347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2160, , 0.355, 0.21, 0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2181, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
