,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
, Brand Reputation (prior-year image), , 69, 66, 78, 75, 83, 0, 0, 0, 0, 0, 0, 0, 74, , 69, 66, 78, 75, 83, 0, 0, 0, 0, 0, 0, 0, 74, , 69, 66, 78, 75, 83, 0, 0, 0, 0, 0, 0, 0, 74, , 69, 66, 78, 75, 83, 0, 0, 0, 0, 0, 0, 0, 74, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Online Orders (000s), , 524, 334, 478, 598, 400, 0, 0, 0, 0, 0, 0, 0, 467, , 404, 518, 442, 277, 359, 0, 0, 0, 0, 0, 0, 0, 400, , 392, 237, 285, 421, 354, 0, 0, 0, 0, 0, 0, 0, 338, , 314, 433, 364, 263, 296, 0, 0, 0, 0, 0, 0, 0, 334, , 
, Pairs Sold (000s), , 524, 334, 478, 598, 400, 0, 0, 0, 0, 0, 0, 0, 467, , 404, 518, 442, 277, 359, 0, 0, 0, 0, 0, 0, 0, 400, , 392, 237, 285, 421, 354, 0, 0, 0, 0, 0, 0, 0, 338, , 314, 433, 364, 263, 296, 0, 0, 0, 0, 0, 0, 0, 334, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.2245, 0.1431, 0.2048, 0.2562, 0.1714, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.202, 0.259, 0.221, 0.1385, 0.1795, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2321, 0.1403, 0.1687, 0.2493, 0.2096, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.188, 0.2593, 0.218, 0.1575, 0.1772, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WHOLESALE, Wholesale Price ($ per pair), , 65, 63, 66.5, 61, 68, 0, 0, 0, 0, 0, 0, 0, 64.7, , 69, 67, 68, 64, 70, 0, 0, 0, 0, 0, 0, 0, 67.6, , 60, 61, 63, 60, 62, 0, 0, 0, 0, 0, 0, 0, 61.2, , 65, 67, 63, 65, 66, 0, 0, 0, 0, 0, 0, 0, 65.2, , 
  SEGMENT, S/Q Rating (1 to 10 stars), , 5, 5.8, 5.8, 5.3, 6.3, 0, 0, 0, 0, 0, 0, 0, 5.6, , 4.8, 5.4, 5.7, 5.6, 6.5, 0, 0, 0, 0, 0, 0, 0, 5.6, , 4.8, 5.2, 5.7, 5.7, 6.5, 0, 0, 0, 0, 0, 0, 0, 5.6, , 5, 5.8, 5.8, 5.6, 6.3, 0, 0, 0, 0, 0, 0, 0, 5.7, , 
, Model Availability, , 199.9, 297.8, 249.8, 200, 250, 0, 0, 0, 0, 0, 0, 0, 240, , 200, 299.4, 250, 191.4, 249.9, 0, 0, 0, 0, 0, 0, 0, 238, , 200, 294.5, 249.7, 200, 249.9, 0, 0, 0, 0, 0, 0, 0, 239, , 200, 299.7, 250, 200, 250, 0, 0, 0, 0, 0, 0, 0, 240, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Brand Advertising ($000s), , 18000, 4000, 14000, 15000, 13000, 0, 0, 0, 0, 0, 0, 0, 12800, , 15000, 10000, 14000, 10000, 13500, 0, 0, 0, 0, 0, 0, 0, 12500, , 16000, 3500, 8000, 15000, 12500, 0, 0, 0, 0, 0, 0, 0, 11000, , 9000, 12000, 8000, 10000, 10000, 0, 0, 0, 0, 0, 0, 0, 9800, , 
, Rebate Offer ($ per pair), , 5, 4, 3, 4, 5, 0, 0, 0, 0, 0, 0, 0, 4.2, , 5, 6, 3, 3, 5, 0, 0, 0, 0, 0, 0, 0, 4.4, , 5, 4, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 3.6, , 4, 6, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 3.8, , 
, Delivery Time (weeks), , 2, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2.2, , 2, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 2, 3, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2.4, , 2, 3, 3, 2, 3, 0, 0, 0, 0, 0, 0, 0, 2.6, , 
, Retailer Support ($ per outlet), , 6000, 3000, 7500, 7500, 7500, 0, 0, 0, 0, 0, 0, 0, 6300, , 7000, 4000, 7500, 6000, 6750, 0, 0, 0, 0, 0, 0, 0, 6250, , 5000, 1500, 5750, 6000, 5250, 0, 0, 0, 0, 0, 0, 0, 4700, , 4000, 1500, 4750, 7000, 4500, 0, 0, 0, 0, 0, 0, 0, 4350, , 
, Retail Outlets, , 2340, 908, 2878, 4956, 3610, 0, 0, 0, 0, 0, 0, 0, 2938, , 4210, 1628, 2982, 995, 3144, 0, 0, 0, 0, 0, 0, 0, 2592, , 1949, 607, 1192, 3872, 2139, 0, 0, 0, 0, 0, 0, 0, 1952, , 1734, 569, 792, 1696, 1126, 0, 0, 0, 0, 0, 0, 0, 1183, , 
, Celebrity Appeal, , 85, 110, 60, 175, 60, 0, 0, 0, 0, 0, 0, 0, 98, , 65, 185, 50, 150, 45, 0, 0, 0, 0, 0, 0, 0, 99, , 60, 130, 60, 160, 100, 0, 0, 0, 0, 0, 0, 0, 102, , 40, 155, 95, 135, 65, 0, 0, 0, 0, 0, 0, 0, 98, , 
, Brand Reputation (prior-year image), , 69, 66, 78, 75, 83, 0, 0, 0, 0, 0, 0, 0, 74, , 69, 66, 78, 75, 83, 0, 0, 0, 0, 0, 0, 0, 74, , 69, 66, 78, 75, 83, 0, 0, 0, 0, 0, 0, 0, 74, , 69, 66, 78, 75, 83, 0, 0, 0, 0, 0, 0, 0, 74, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Demanded (000s), , 1668, 1359, 1777, 3407, 2274, 0, 0, 0, 0, 0, 0, 0, 2097, , 2202, 1628, 1931, 1385, 2034, 0, 0, 0, 0, 0, 0, 0, 1836, , 1494, 1022, 916, 2407, 1841, 0, 0, 0, 0, 0, 0, 0, 1536, , 1426, 1699, 1276, 1875, 1564, 0, 0, 0, 0, 0, 0, 0, 1568, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,   Gained / Lost (due to stockouts), , 15, 11, 16, -63, 20, 0, 0, 0, 0, 0, 0, 0, 0, , 219, 257, -108, -405, -55, 0, 0, 0, 0, 0, 0, 0, -18, , 2, 157, -25, -3, -131, 0, 0, 0, 0, 0, 0, 0, 0, , 72, 86, -166, -70, 79, 0, 0, 0, 0, 0, 0, 0, 0, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Sold (000s), , 1683, 1370, 1793, 3344, 2294, 0, 0, 0, 0, 0, 0, 0, 2097, , 2421, 1885, 1823, 980, 1979, 0, 0, 0, 0, 0, 0, 0, 1818, , 1496, 1179, 891, 2404, 1710, 0, 0, 0, 0, 0, 0, 0, 1536, , 1498, 1785, 1110, 1805, 1643, 0, 0, 0, 0, 0, 0, 0, 1568, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.1605, 0.1307, 0.171, 0.319, 0.2188, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2664, 0.2074, 0.2006, 0.1078, 0.2178, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1948, 0.1535, 0.116, 0.313, 0.2227, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.191, 0.2276, 0.1416, 0.2302, 0.2095, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
PRIVATE-LABEL, Offer Price (max = $40.00), , 0, 45, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54.7, , 0, 45, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57.6, , 0, 45, 40, 0, 39, 0, 0, 0, 0, 0, 0, 0, 51.2, , 0, 50, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55.2, , 
  SEGMENT, S/Q Rating (min = 3.0 stars), , 0, 4.5, 4.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5, , 0, 4.7, 4.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5, , 0, 4.7, 4.6, 0, 4.5, 0, 0, 0, 0, 0, 0, 0, 4.5, , 0, 4.5, 4.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.5, , 
, , , , , , , , , , , , , , , 0.8, , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 0.4, , , , , , , , , , , , , , 1, , 
, Pairs Offered (000s), , 0, 524, 1163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1365, , 0, 536, 775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1365, , 0, 573, 957, 0, 394, 0, 0, 0, 0, 0, 0, 0, 1440, , 0, 524, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1440, , 
, Pairs Sold (000s), , 0, 273, 1092, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1687, , 0, 536, 775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1311, , 0, 470, 576, 0, 394, 0, 0, 0, 0, 0, 0, 0, 1924, , 0, 524, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 715, , 
, Market Share (%), , 0, 0.2, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1365, , 0, 0.393, 0.568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1311, , 0, 0.326, 0.4, 0, 0.274, 0, 0, 0, 0, 0, 0, 0, 1440, , 0, 0.364, 0.133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 715, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
