,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
, Brand Reputation (prior-year image), , 64, 73, 80, 78, 84, 0, 0, 0, 0, 0, 0, 0, 76, , 64, 73, 80, 78, 84, 0, 0, 0, 0, 0, 0, 0, 76, , 64, 73, 80, 78, 84, 0, 0, 0, 0, 0, 0, 0, 76, , 64, 73, 80, 78, 84, 0, 0, 0, 0, 0, 0, 0, 76, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Online Orders (000s), , 575, 304, 624, 603, 534, 0, 0, 0, 0, 0, 0, 0, 528, , 511, 575, 505, 230, 419, 0, 0, 0, 0, 0, 0, 0, 448, , 526, 252, 365, 453, 389, 0, 0, 0, 0, 0, 0, 0, 397, , 382, 455, 375, 399, 344, 0, 0, 0, 0, 0, 0, 0, 391, , 
, Pairs Sold (000s), , 575, 304, 624, 603, 534, 0, 0, 0, 0, 0, 0, 0, 528, , 511, 575, 505, 230, 419, 0, 0, 0, 0, 0, 0, 0, 448, , 526, 252, 365, 453, 389, 0, 0, 0, 0, 0, 0, 0, 397, , 382, 455, 375, 399, 344, 0, 0, 0, 0, 0, 0, 0, 391, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.2178, 0.1152, 0.2364, 0.2284, 0.2023, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2281, 0.2567, 0.2254, 0.1027, 0.1871, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.265, 0.127, 0.1839, 0.2282, 0.196, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1954, 0.2327, 0.1918, 0.2041, 0.176, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WHOLESALE, Wholesale Price ($ per pair), , 60, 63, 76.5, 66, 68, 0, 0, 0, 0, 0, 0, 0, 66.7, , 66, 69, 81, 72, 73, 0, 0, 0, 0, 0, 0, 0, 72.2, , 58.5, 61, 72, 61.5, 65, 0, 0, 0, 0, 0, 0, 0, 63.6, , 65, 67, 72, 66, 70, 0, 0, 0, 0, 0, 0, 0, 68, , 
  SEGMENT, S/Q Rating (1 to 10 stars), , 5.5, 5.8, 6.4, 6.3, 6.3, 0, 0, 0, 0, 0, 0, 0, 6.1, , 5.1, 5.5, 6.2, 6, 6.5, 0, 0, 0, 0, 0, 0, 0, 5.9, , 5.1, 5.3, 6.2, 5.9, 6.7, 0, 0, 0, 0, 0, 0, 0, 5.8, , 5.4, 5.8, 6.3, 6.2, 6, 0, 0, 0, 0, 0, 0, 0, 5.9, , 
, Model Availability, , 244.2, 299.9, 297.9, 249, 250, 0, 0, 0, 0, 0, 0, 0, 268, , 279.9, 300, 297.5, 213.2, 250, 0, 0, 0, 0, 0, 0, 0, 268, , 345.4, 299, 298.6, 200, 250, 0, 0, 0, 0, 0, 0, 0, 279, , 203.4, 300, 224.9, 203.6, 250, 0, 0, 0, 0, 0, 0, 0, 236, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Brand Advertising ($000s), , 18000, 4000, 18000, 15000, 15000, 0, 0, 0, 0, 0, 0, 0, 14000, , 20000, 12000, 17000, 9000, 14000, 0, 0, 0, 0, 0, 0, 0, 14400, , 16000, 5000, 11000, 15000, 14000, 0, 0, 0, 0, 0, 0, 0, 12200, , 15000, 12000, 11000, 12000, 10500, 0, 0, 0, 0, 0, 0, 0, 12100, , 
, Rebate Offer ($ per pair), , 5, 4, 3, 4, 5, 0, 0, 0, 0, 0, 0, 0, 4.2, , 4, 6, 3, 3, 5, 0, 0, 0, 0, 0, 0, 0, 4.2, , 4, 4, 3, 4, 5, 0, 0, 0, 0, 0, 0, 0, 4, , 5, 6, 3, 4, 5, 0, 0, 0, 0, 0, 0, 0, 4.6, , 
, Delivery Time (weeks), , 3, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2.4, , 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 3, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2.2, , 2, 2, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 2.2, , 
, Retailer Support ($ per outlet), , 3000, 3000, 9500, 7500, 7750, 0, 0, 0, 0, 0, 0, 0, 6150, , 4000, 6000, 9500, 6000, 7000, 0, 0, 0, 0, 0, 0, 0, 6500, , 4000, 3000, 7500, 6000, 6000, 0, 0, 0, 0, 0, 0, 0, 5300, , 4000, 4000, 7500, 8000, 5500, 0, 0, 0, 0, 0, 0, 0, 5800, , 
, Retail Outlets, , 1973, 810, 3388, 5070, 4209, 0, 0, 0, 0, 0, 0, 0, 3090, , 4217, 1388, 3624, 2065, 3628, 0, 0, 0, 0, 0, 0, 0, 2984, , 1646, 538, 1350, 4460, 2586, 0, 0, 0, 0, 0, 0, 0, 2116, , 1498, 700, 1037, 3748, 1344, 0, 0, 0, 0, 0, 0, 0, 1665, , 
, Celebrity Appeal, , 0, 40, 60, 160, 230, 0, 0, 0, 0, 0, 0, 0, 98, , 0, 85, 50, 145, 215, 0, 0, 0, 0, 0, 0, 0, 99, , 0, 60, 60, 155, 235, 0, 0, 0, 0, 0, 0, 0, 102, , 0, 100, 95, 100, 195, 0, 0, 0, 0, 0, 0, 0, 98, , 
, Brand Reputation (prior-year image), , 64, 73, 80, 78, 84, 0, 0, 0, 0, 0, 0, 0, 76, , 64, 73, 80, 78, 84, 0, 0, 0, 0, 0, 0, 0, 76, , 64, 73, 80, 78, 84, 0, 0, 0, 0, 0, 0, 0, 76, , 64, 73, 80, 78, 84, 0, 0, 0, 0, 0, 0, 0, 76, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Demanded (000s), , 1760, 1291, 1896, 3204, 2994, 0, 0, 0, 0, 0, 0, 0, 2229, , 2586, 1635, 1757, 1091, 2317, 0, 0, 0, 0, 0, 0, 0, 1877, , 1657, 1059, 1001, 2590, 2084, 0, 0, 0, 0, 0, 0, 0, 1678, , 1385, 1702, 1159, 2649, 1580, 0, 0, 0, 0, 0, 0, 0, 1695, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,   Gained / Lost (due to stockouts), , 10, 7, 9, 18, -44, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Sold (000s), , 1770, 1298, 1905, 3222, 2950, 0, 0, 0, 0, 0, 0, 0, 2229, , 2586, 1635, 1757, 1091, 2317, 0, 0, 0, 0, 0, 0, 0, 1877, , 1657, 1059, 1001, 2590, 2084, 0, 0, 0, 0, 0, 0, 0, 1678, , 1385, 1702, 1159, 2649, 1580, 0, 0, 0, 0, 0, 0, 0, 1695, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.1588, 0.1165, 0.1709, 0.2891, 0.2647, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2755, 0.1742, 0.1872, 0.1162, 0.2469, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1975, 0.1262, 0.1193, 0.3087, 0.2484, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1634, 0.2008, 0.1368, 0.3126, 0.1864, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
PRIVATE-LABEL, Offer Price (max = $40.00), , 0, 45, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56.7, , 0, 45, 75, 0, 40, 0, 0, 0, 0, 0, 0, 0, 62.2, , 0, 45, 71, 0, 35, 0, 0, 0, 0, 0, 0, 0, 53.6, , 0, 48, 71, 0, 40, 0, 0, 0, 0, 0, 0, 0, 58, , 
  SEGMENT, S/Q Rating (min = 3.0 stars), , 0, 4.6, 4.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6, , 0, 4.6, 4.7, 0, 4.7, 0, 0, 0, 0, 0, 0, 0, 4.6, , 0, 4.6, 4.7, 0, 4.7, 0, 0, 0, 0, 0, 0, 0, 4.6, , 0, 4.6, 4.7, 0, 4.7, 0, 0, 0, 0, 0, 0, 0, 4.6, , 
, , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 1, , 
, Pairs Offered (000s), , 0, 429, 1169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1515, , 0, 536, 779, 0, 599, 0, 0, 0, 0, 0, 0, 0, 1515, , 0, 573, 966, 0, 642, 0, 0, 0, 0, 0, 0, 0, 1625, , 0, 619, 193, 0, 537, 0, 0, 0, 0, 0, 0, 0, 1625, , 
, Pairs Sold (000s), , 0, 429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1598, , 0, 536, 0, 0, 599, 0, 0, 0, 0, 0, 0, 0, 1914, , 0, 573, 0, 0, 642, 0, 0, 0, 0, 0, 0, 0, 2181, , 0, 619, 0, 0, 537, 0, 0, 0, 0, 0, 0, 0, 1349, , 
, Market Share (%), , 0, 0.283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 429, , 0, 0.354, 0, 0, 0.395, 0, 0, 0, 0, 0, 0, 0, 1135, , 0, 0.353, 0, 0, 0.395, 0, 0, 0, 0, 0, 0, 0, 1215, , 0, 0.381, 0, 0, 0.33, 0, 0, 0, 0, 0, 0, 0, 1156, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
