,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
, Brand Reputation (prior-year image), , 64, 71, 74, 83, 91, 0, 0, 0, 0, 0, 0, 0, 77, , 64, 71, 74, 83, 91, 0, 0, 0, 0, 0, 0, 0, 77, , 64, 71, 74, 83, 91, 0, 0, 0, 0, 0, 0, 0, 77, , 64, 71, 74, 83, 91, 0, 0, 0, 0, 0, 0, 0, 77, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Online Orders (000s), , 688, 383, 662, 576, 635, 0, 0, 0, 0, 0, 0, 0, 589, , 516, 521, 614, 325, 519, 0, 0, 0, 0, 0, 0, 0, 499, , 527, 428, 385, 469, 467, 0, 0, 0, 0, 0, 0, 0, 455, , 483, 569, 405, 378, 451, 0, 0, 0, 0, 0, 0, 0, 457, , 
, Pairs Sold (000s), , 688, 383, 662, 576, 635, 0, 0, 0, 0, 0, 0, 0, 589, , 516, 521, 614, 325, 519, 0, 0, 0, 0, 0, 0, 0, 499, , 527, 428, 385, 469, 467, 0, 0, 0, 0, 0, 0, 0, 455, , 483, 569, 405, 378, 451, 0, 0, 0, 0, 0, 0, 0, 457, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.2337, 0.1301, 0.2249, 0.1957, 0.2157, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2068, 0.2088, 0.2461, 0.1303, 0.208, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2315, 0.188, 0.1692, 0.2061, 0.2052, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2113, 0.2489, 0.1772, 0.1654, 0.1973, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WHOLESALE, Wholesale Price ($ per pair), , 66, 68, 74, 68, 70, 0, 0, 0, 0, 0, 0, 0, 69.2, , 76, 74, 74, 72, 75, 0, 0, 0, 0, 0, 0, 0, 74.2, , 66, 64, 71, 65, 67, 0, 0, 0, 0, 0, 0, 0, 66.6, , 65, 71, 72, 69, 71, 0, 0, 0, 0, 0, 0, 0, 69.6, , 
  SEGMENT, S/Q Rating (1 to 10 stars), , 5.9, 5.3, 6.5, 7, 6.4, 0, 0, 0, 0, 0, 0, 0, 6.2, , 5.9, 4.9, 6.6, 6.9, 6.6, 0, 0, 0, 0, 0, 0, 0, 6.2, , 5.7, 4.5, 6.6, 7, 6.6, 0, 0, 0, 0, 0, 0, 0, 6.1, , 6.1, 4.7, 6.4, 6.9, 6.4, 0, 0, 0, 0, 0, 0, 0, 6.1, , 
, Model Availability, , 308.1, 335.1, 349, 250, 250, 0, 0, 0, 0, 0, 0, 0, 298, , 340.3, 342.7, 348.8, 247.7, 250, 0, 0, 0, 0, 0, 0, 0, 306, , 349.2, 381.5, 348.6, 248.9, 250, 0, 0, 0, 0, 0, 0, 0, 316, , 323.7, 377.6, 339, 247.2, 250, 0, 0, 0, 0, 0, 0, 0, 308, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Brand Advertising ($000s), , 15000, 4000, 14000, 15000, 16500, 0, 0, 0, 0, 0, 0, 0, 12900, , 16000, 14000, 15000, 14000, 16000, 0, 0, 0, 0, 0, 0, 0, 15000, , 14000, 5000, 9000, 15000, 16500, 0, 0, 0, 0, 0, 0, 0, 11900, , 15000, 14000, 9000, 12000, 13500, 0, 0, 0, 0, 0, 0, 0, 12700, , 
, Rebate Offer ($ per pair), , 5, 4, 3, 3, 5, 0, 0, 0, 0, 0, 0, 0, 4, , 4, 6, 3, 3, 5, 0, 0, 0, 0, 0, 0, 0, 4.2, , 4, 4, 4, 4, 5, 0, 0, 0, 0, 0, 0, 0, 4.2, , 5, 6, 4, 4, 5, 0, 0, 0, 0, 0, 0, 0, 4.8, , 
, Delivery Time (weeks), , 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 2, 4, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 2.6, , 
, Retailer Support ($ per outlet), , 8000, 6000, 8000, 7750, 8250, 0, 0, 0, 0, 0, 0, 0, 7600, , 6500, 6000, 8000, 7500, 8500, 0, 0, 0, 0, 0, 0, 0, 7300, , 6000, 6000, 8000, 6000, 7000, 0, 0, 0, 0, 0, 0, 0, 6600, , 7000, 6000, 8000, 8000, 8000, 0, 0, 0, 0, 0, 0, 0, 7400, , 
, Retail Outlets, , 1680, 721, 4449, 4961, 4811, 0, 0, 0, 0, 0, 0, 0, 3324, , 3087, 1988, 4466, 1817, 4337, 0, 0, 0, 0, 0, 0, 0, 3139, , 1411, 712, 2980, 4456, 3628, 0, 0, 0, 0, 0, 0, 0, 2637, , 1284, 1220, 3085, 5588, 1508, 0, 0, 0, 0, 0, 0, 0, 2537, , 
, Celebrity Appeal, , 60, 135, 0, 85, 210, 0, 0, 0, 0, 0, 0, 0, 98, , 45, 130, 0, 65, 255, 0, 0, 0, 0, 0, 0, 0, 99, , 100, 155, 0, 60, 195, 0, 0, 0, 0, 0, 0, 0, 102, , 65, 155, 0, 40, 230, 0, 0, 0, 0, 0, 0, 0, 98, , 
, Brand Reputation (prior-year image), , 64, 71, 74, 83, 91, 0, 0, 0, 0, 0, 0, 0, 77, , 64, 71, 74, 83, 91, 0, 0, 0, 0, 0, 0, 0, 77, , 64, 71, 74, 83, 91, 0, 0, 0, 0, 0, 0, 0, 77, , 64, 71, 74, 83, 91, 0, 0, 0, 0, 0, 0, 0, 77, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Demanded (000s), , 1820, 1286, 2180, 2803, 3172, 0, 0, 0, 0, 0, 0, 0, 2252, , 1695, 1692, 2370, 1305, 2732, 0, 0, 0, 0, 0, 0, 0, 1959, , 1535, 1301, 1400, 2375, 2405, 0, 0, 0, 0, 0, 0, 0, 1803, , 1786, 1586, 1686, 2754, 1578, 0, 0, 0, 0, 0, 0, 0, 1878, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,   Gained / Lost (due to stockouts), , -18, 2, 4, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 8, -40, 7, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Sold (000s), , 1802, 1288, 2184, 2808, 3178, 0, 0, 0, 0, 0, 0, 0, 2252, , 1695, 1692, 2370, 1305, 2732, 0, 0, 0, 0, 0, 0, 0, 1959, , 1543, 1261, 1407, 2387, 2417, 0, 0, 0, 0, 0, 0, 0, 1803, , 1786, 1586, 1686, 2754, 1578, 0, 0, 0, 0, 0, 0, 0, 1878, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.16, 0.1144, 0.194, 0.2494, 0.2822, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1731, 0.1728, 0.242, 0.1332, 0.2789, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1712, 0.1399, 0.1561, 0.2648, 0.2681, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1902, 0.1689, 0.1796, 0.2933, 0.1681, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
PRIVATE-LABEL, Offer Price (max = $40.00), , 56, 55, 0, 44, 40, 0, 0, 0, 0, 0, 0, 0, 59.2, , 62, 55, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 64.2, , 54, 52, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 56.6, , 58, 54, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 59.6, , 
  SEGMENT, S/Q Rating (min = 3.0 stars), , 4.9, 4.9, 0, 4.9, 4.9, 0, 0, 0, 0, 0, 0, 0, 4.9, , 4.9, 4.9, 0, 4.9, 0, 0, 0, 0, 0, 0, 0, 0, 4.9, , 4.9, 4.9, 0, 4.9, 0, 0, 0, 0, 0, 0, 0, 0, 4.9, , 4.9, 4.9, 0, 4.9, 0, 0, 0, 0, 0, 0, 0, 0, 4.9, , 
, , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 1, , 
, Pairs Offered (000s), , 94, 374, 0, 563, 445, 0, 0, 0, 0, 0, 0, 0, 1680, , 94, 374, 0, 385, 0, 0, 0, 0, 0, 0, 0, 0, 1680, , 563, 367, 0, 578, 0, 0, 0, 0, 0, 0, 0, 0, 1835, , 94, 367, 0, 563, 0, 0, 0, 0, 0, 0, 0, 0, 1835, , 
, Pairs Sold (000s), , 0, 374, 0, 563, 445, 0, 0, 0, 0, 0, 0, 0, 1476, , 0, 374, 0, 385, 0, 0, 0, 0, 0, 0, 0, 0, 853, , 563, 367, 0, 578, 0, 0, 0, 0, 0, 0, 0, 0, 1508, , 0, 367, 0, 563, 0, 0, 0, 0, 0, 0, 0, 0, 1024, , 
, Market Share (%), , 0, 0.223, 0, 0.335, 0.265, 0, 0, 0, 0, 0, 0, 0, 1382, , 0, 0.223, 0, 0.229, 0, 0, 0, 0, 0, 0, 0, 0, 759, , 0.307, 0.2, 0, 0.315, 0, 0, 0, 0, 0, 0, 0, 0, 1508, , 0, 0.2, 0, 0.307, 0, 0, 0, 0, 0, 0, 0, 0, 930, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
