,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
, Brand Reputation (prior-year image), , 70, 60, 71, 72, 81, 0, 0, 0, 0, 0, 0, 0, 71, , 70, 60, 71, 72, 81, 0, 0, 0, 0, 0, 0, 0, 71, , 70, 60, 71, 72, 81, 0, 0, 0, 0, 0, 0, 0, 71, , 70, 60, 71, 72, 81, 0, 0, 0, 0, 0, 0, 0, 71, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Online Orders (000s), , 585, 361, 396, 473, 345, 0, 0, 0, 0, 0, 0, 0, 432, , 550, 407, 366, 195, 311, 0, 0, 0, 0, 0, 0, 0, 366, , 351, 256, 218, 341, 275, 0, 0, 0, 0, 0, 0, 0, 288, , 316, 282, 299, 264, 284, 0, 0, 0, 0, 0, 0, 0, 289, , 
, Pairs Sold (000s), , 585, 361, 396, 473, 345, 0, 0, 0, 0, 0, 0, 0, 432, , 550, 407, 366, 195, 311, 0, 0, 0, 0, 0, 0, 0, 366, , 351, 256, 218, 341, 275, 0, 0, 0, 0, 0, 0, 0, 288, , 316, 282, 299, 264, 284, 0, 0, 0, 0, 0, 0, 0, 289, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.2708, 0.1671, 0.1833, 0.219, 0.1597, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.3007, 0.2225, 0.2001, 0.1066, 0.17, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2436, 0.1777, 0.1513, 0.2366, 0.1908, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2187, 0.1952, 0.2069, 0.1827, 0.1965, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
WHOLESALE, Wholesale Price ($ per pair), , 60, 63, 62, 59, 68, 0, 0, 0, 0, 0, 0, 0, 62.4, , 60, 67, 64, 63, 70, 0, 0, 0, 0, 0, 0, 0, 64.8, , 59, 61, 60, 56, 60, 0, 0, 0, 0, 0, 0, 0, 59.2, , 61, 67, 60, 65, 65, 0, 0, 0, 0, 0, 0, 0, 63.6, , 
  SEGMENT, S/Q Rating (1 to 10 stars), , 5, 5.3, 5.8, 5.3, 6.3, 0, 0, 0, 0, 0, 0, 0, 5.5, , 4.6, 5.3, 5.7, 5.4, 6.1, 0, 0, 0, 0, 0, 0, 0, 5.4, , 4.6, 4.9, 5.7, 5.5, 6.1, 0, 0, 0, 0, 0, 0, 0, 5.4, , 4.9, 5, 5.8, 5.4, 6.3, 0, 0, 0, 0, 0, 0, 0, 5.5, , 
, Model Availability, , 198.4, 244.9, 244.4, 200, 249.9, 0, 0, 0, 0, 0, 0, 0, 228, , 200, 287.6, 248.5, 150.3, 248.7, 0, 0, 0, 0, 0, 0, 0, 227, , 200, 272.4, 245.2, 150.1, 248.2, 0, 0, 0, 0, 0, 0, 0, 223, , 198.8, 289.6, 249, 180.4, 249.8, 0, 0, 0, 0, 0, 0, 0, 234, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Brand Advertising ($000s), , 18000, 3500, 14000, 15000, 12000, 0, 0, 0, 0, 0, 0, 0, 12500, , 18000, 10000, 14000, 10000, 12000, 0, 0, 0, 0, 0, 0, 0, 12800, , 16000, 3000, 8000, 15000, 11500, 0, 0, 0, 0, 0, 0, 0, 10700, , 9000, 12000, 8000, 10000, 9000, 0, 0, 0, 0, 0, 0, 0, 9600, , 
, Rebate Offer ($ per pair), , 5, 4, 3, 5, 5, 0, 0, 0, 0, 0, 0, 0, 4.4, , 5, 6, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3.8, , 5, 4, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 3.6, , 4, 6, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 3.8, , 
, Delivery Time (weeks), , 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 2, 2, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 2.2, , 2, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2.2, , 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 3, , 
, Retailer Support ($ per outlet), , 6000, 3000, 7000, 7000, 6500, 0, 0, 0, 0, 0, 0, 0, 5900, , 7000, 5000, 7000, 4750, 6000, 0, 0, 0, 0, 0, 0, 0, 5950, , 5000, 1500, 5000, 6000, 4250, 0, 0, 0, 0, 0, 0, 0, 4350, , 4000, 1500, 4000, 5000, 3250, 0, 0, 0, 0, 0, 0, 0, 3550, , 
, Retail Outlets, , 2875, 1038, 1279, 3335, 3331, 0, 0, 0, 0, 0, 0, 0, 2372, , 3200, 1191, 1470, 851, 2195, 0, 0, 0, 0, 0, 0, 0, 1781, , 2330, 648, 968, 1638, 1572, 0, 0, 0, 0, 0, 0, 0, 1431, , 2043, 595, 602, 1397, 1125, 0, 0, 0, 0, 0, 0, 0, 1152, , 
, Celebrity Appeal, , 85, 110, 0, 175, 60, 0, 0, 0, 0, 0, 0, 0, 86, , 65, 185, 0, 150, 45, 0, 0, 0, 0, 0, 0, 0, 89, , 60, 130, 0, 160, 100, 0, 0, 0, 0, 0, 0, 0, 90, , 40, 155, 0, 135, 65, 0, 0, 0, 0, 0, 0, 0, 79, , 
, Brand Reputation (prior-year image), , 70, 60, 71, 72, 81, 0, 0, 0, 0, 0, 0, 0, 71, , 70, 60, 71, 72, 81, 0, 0, 0, 0, 0, 0, 0, 71, , 70, 60, 71, 72, 81, 0, 0, 0, 0, 0, 0, 0, 71, , 70, 60, 71, 72, 81, 0, 0, 0, 0, 0, 0, 0, 71, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Demanded (000s), , 2434, 1209, 1503, 2877, 2207, 0, 0, 0, 0, 0, 0, 0, 2046, , 2876, 1701, 1514, 1004, 1765, 0, 0, 0, 0, 0, 0, 0, 1772, , 1731, 992, 869, 1799, 1660, 0, 0, 0, 0, 0, 0, 0, 1410, , 1568, 1613, 1133, 1460, 1506, 0, 0, 0, 0, 0, 0, 0, 1456, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,   Gained / Lost (due to stockouts), , -479, -60, 125, 284, 69, 0, 0, 0, 0, 0, 0, 0, -12, , -572, 69, 3, 181, 319, 0, 0, 0, 0, 0, 0, 0, 0, , -556, 182, 160, 162, 52, 0, 0, 0, 0, 0, 0, 0, 0, , 21, -298, -331, 161, 92, 0, 0, 0, 0, 0, 0, 0, -71, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Sold (000s), , 1955, 1149, 1628, 3161, 2276, 0, 0, 0, 0, 0, 0, 0, 2034, , 2304, 1770, 1517, 1185, 2084, 0, 0, 0, 0, 0, 0, 0, 1772, , 1175, 1174, 1029, 1961, 1712, 0, 0, 0, 0, 0, 0, 0, 1410, , 1589, 1315, 802, 1621, 1598, 0, 0, 0, 0, 0, 0, 0, 1385, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.1923, 0.113, 0.1601, 0.3108, 0.2238, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.26, 0.1998, 0.1712, 0.1337, 0.2352, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1666, 0.1665, 0.1459, 0.2781, 0.2428, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2295, 0.1899, 0.1158, 0.2341, 0.2308, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
PRIVATE-LABEL, Offer Price (max = $40.00), , 0, 45, 42, 0, 32, 0, 0, 0, 0, 0, 0, 0, 52.4, , 37, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54.8, , 0, 41, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49.2, , 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53.6, , 
  SEGMENT, S/Q Rating (min = 3.0 stars), , 0, 4.3, 4.4, 0, 4.5, 0, 0, 0, 0, 0, 0, 0, 4.2, , 3.2, 0, 4.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2, , 0, 4.3, 4.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2, , 0, 0, 4.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2, , 
, , , , , , , , , , , , , , , 0.4, , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 0.8, , , , , , , , , , , , , , 1, , 
, Pairs Offered (000s), , 0, 2001, 874, 0, 394, 0, 0, 0, 0, 0, 0, 0, 1230, , 275, 0, 957, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1230, , 0, 1943, 479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1275, , 0, 0, 777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1275, , 
, Pairs Sold (000s), , 0, 344, 492, 0, 394, 0, 0, 0, 0, 0, 0, 0, 3269, , 0, 0, 957, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1232, , 0, 796, 479, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2422, , 0, 0, 777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 777, , 
, Market Share (%), , 0, 0.28, 0.4, 0, 0.32, 0, 0, 0, 0, 0, 0, 0, 1230, , 0, 0, 0.778, 0, 0, 0, 0, 0, 0, 0, 0, 0, 957, , 0, 0.624, 0.376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1275, , 0, 0, 0.609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 777, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
